NUM_THREDS;VARIANT;Value_Pi;OMP Time;User Time;CPU Time;
4;2;3.141838;0.079972;0.079972;0.070000;
1;0;3.141838;0.264663;0.264663;0.260000;
8;2;3.141838;0.079881;0.079881;0.070000;
8;0;3.141789;4.957900;4.957901;38.290000;
2;1;3.124490;10.619761;10.619761;21.220000;
4;1;3.143966;9.716702;9.716702;38.850000;
2;0;3.141398;1.116301;1.116301;2.230000;
1;1;3.179945;5.609032;5.609032;5.600000;
2;2;3.141838;0.079963;0.079963;0.080000;
4;0;3.141322;1.942215;1.942216;7.190000;
8;1;3.132381;10.886997;10.886996;83.210000;
4;2;3.141838;0.079892;0.079892;0.080000;
8;2;3.141838;0.080198;0.080198;0.080000;
2;1;3.137866;10.237162;10.237162;20.460000;
8;0;3.141789;4.945422;4.945423;36.950000;
4;1;3.141238;9.789116;9.789116;39.140000;
8;1;3.140990;11.050321;11.050322;88.360000;
