Variant, Num Iterations, Time in µs
strength_reduction_g_union, 100000000, 135539
strength_reduction_g_union2, 100000000, 135158
strength_reduction_g_bits, 100000000, 135825
standard_a, 100000000, 137937
strength_reduction_a, 100000000, 134770
standard_b, 100000000, 134804
strength_reduction_b, 100000000, 134924
standard_c, 100000000, 135200
strength_reduction_c, 100000000, 139071
standard_d, 100000000, 136447
strength_reduction_d, 100000000, 135002
standard_e, 5000000, 6807
strength_reduction_e, 5000000, 6712
standard_f, 1000000, 1345
strength_reduction_f, 1000000, 1366
standard_g, 100000000, 135947
strength_reduction_g_union, 100000000, 134816
strength_reduction_g_union2, 100000000, 138936
strength_reduction_g_bits, 100000000, 144337
standard_a, 100000000, 134971
strength_reduction_a, 100000000, 134805
standard_b, 100000000, 134703
strength_reduction_b, 100000000, 135303
standard_c, 100000000, 134630
strength_reduction_c, 100000000, 134383
standard_d, 100000000, 136348
strength_reduction_d, 100000000, 135226
standard_e, 5000000, 7334
strength_reduction_e, 5000000, 7219
standard_f, 1000000, 1352
strength_reduction_f, 1000000, 1706
standard_g, 100000000, 136378
strength_reduction_g_union, 100000000, 135582
strength_reduction_g_union2, 100000000, 134680
strength_reduction_g_bits, 100000000, 135168
standard_a, 100000000, 134892
strength_reduction_a, 100000000, 136510
standard_b, 100000000, 148948
strength_reduction_b, 100000000, 135001
standard_c, 100000000, 134884
strength_reduction_c, 100000000, 137496
standard_d, 100000000, 136338
strength_reduction_d, 100000000, 134687
standard_e, 5000000, 7633
strength_reduction_e, 5000000, 6737
standard_f, 1000000, 1333
strength_reduction_f, 1000000, 1344
standard_g, 100000000, 137525
strength_reduction_g_union, 100000000, 134776
strength_reduction_g_union2, 100000000, 136034
strength_reduction_g_bits, 100000000, 135340
standard_a, 100000000, 137331
strength_reduction_a, 100000000, 136949
standard_b, 100000000, 138018
strength_reduction_b, 100000000, 134785
standard_c, 100000000, 134839
strength_reduction_c, 100000000, 134928
standard_d, 100000000, 134762
strength_reduction_d, 100000000, 134719
standard_e, 5000000, 6724
strength_reduction_e, 5000000, 6742
standard_f, 1000000, 1344
strength_reduction_f, 1000000, 1347
standard_g, 100000000, 134741
strength_reduction_g_union, 100000000, 136739
strength_reduction_g_union2, 100000000, 135400
strength_reduction_g_bits, 100000000, 136780
standard_a, 100000000, 136850
strength_reduction_a, 100000000, 136741
standard_b, 100000000, 134822
strength_reduction_b, 100000000, 135480
standard_c, 100000000, 135572
strength_reduction_c, 100000000, 135027
standard_d, 100000000, 135622
strength_reduction_d, 100000000, 139826
standard_e, 5000000, 6759
strength_reduction_e, 5000000, 6852
standard_f, 1000000, 1333
strength_reduction_f, 1000000, 1344
standard_g, 100000000, 134927
strength_reduction_g_union, 100000000, 136176
strength_reduction_g_union2, 100000000, 136758
strength_reduction_g_bits, 100000000, 135710
standard_a, 100000000, 135889
strength_reduction_a, 100000000, 135839
standard_b, 100000000, 135550
strength_reduction_b, 100000000, 136827
standard_c, 100000000, 134742
strength_reduction_c, 100000000, 136396
standard_d, 100000000, 143936
strength_reduction_d, 100000000, 134938
standard_e, 5000000, 6740
strength_reduction_e, 5000000, 6727
standard_f, 1000000, 1343
strength_reduction_f, 1000000, 1373
standard_g, 100000000, 137691
strength_reduction_g_union, 100000000, 136173
strength_reduction_g_union2, 100000000, 134767
strength_reduction_g_bits, 100000000, 134958
standard_a, 100000000, 134857
strength_reduction_a, 100000000, 136122
standard_b, 100000000, 134901
strength_reduction_b, 100000000, 137406
standard_c, 100000000, 135442
strength_reduction_c, 100000000, 134603
standard_d, 100000000, 136087
strength_reduction_d, 100000000, 135225
standard_e, 5000000, 6859
strength_reduction_e, 5000000, 6713
standard_f, 1000000, 1332
strength_reduction_f, 1000000, 1376
standard_g, 100000000, 139434
strength_reduction_g_union, 100000000, 134687
strength_reduction_g_union2, 100000000, 138189
strength_reduction_g_bits, 100000000, 135123
standard_a, 100000000, 139267
strength_reduction_a, 100000000, 147473
standard_b, 100000000, 135025
strength_reduction_b, 100000000, 135271
standard_c, 100000000, 135030
strength_reduction_c, 100000000, 139677
standard_d, 100000000, 136263
strength_reduction_d, 100000000, 134847
standard_e, 5000000, 6782
strength_reduction_e, 5000000, 6867
standard_f, 1000000, 1352
strength_reduction_f, 1000000, 1357
standard_g, 100000000, 141445
strength_reduction_g_union, 100000000, 148167
strength_reduction_g_union2, 100000000, 136052
strength_reduction_g_bits, 100000000, 134716
standard_a, 100000000, 135257
strength_reduction_a, 100000000, 134616
standard_b, 100000000, 134814
strength_reduction_b, 100000000, 134823
standard_c, 100000000, 135044
strength_reduction_c, 100000000, 134758
standard_d, 100000000, 135112
strength_reduction_d, 100000000, 135038
standard_e, 5000000, 6713
strength_reduction_e, 5000000, 6748
standard_f, 1000000, 1369
strength_reduction_f, 1000000, 1337
standard_g, 100000000, 137480
strength_reduction_g_union, 100000000, 134519
strength_reduction_g_union2, 100000000, 135088
strength_reduction_g_bits, 100000000, 136021
standard_a, 100000000, 135033
strength_reduction_a, 100000000, 138277
standard_b, 100000000, 137278
strength_reduction_b, 100000000, 134971
standard_c, 100000000, 141671
strength_reduction_c, 100000000, 138126
standard_d, 100000000, 140847
strength_reduction_d, 100000000, 134737
