3-original, 32, 0.060922
3-modified, 1, 0.087024
3-modified, 2, 0.058241
3-modified, 4, 0.043058
3-modified, 8, 0.046732
3-modified, 16, 0.046908
3-modified, 32, 0.050882
1-original, 2, 0.097586
1-original, 1, 0.097331
1-original, 16, 0.097386
1-original, 4, 0.097282
1-original, 8, 0.097636
1-original, 32, 0.097916
1-modified, 2, 0.065858
1-modified, 8, 0.045141
1-modified, 16, 0.047742
1-modified, 32, 0.047702
2-original, 2, 0.192640
2-original, 1, 0.192548
2-original, 4, 0.192281
2-original, 16, 0.192451
2-original, 8, 0.192461
2-modified, 1, 0.166605
2-original, 32, 0.192653
2-modified, 8, 0.087710
2-modified, 4, 0.081344
2-modified, 16, 0.089072
2-modified, 32, 0.091961
3-original, 2, 0.061053
3-original, 4, 0.060652
3-original, 8, 0.061982
3-original, 16, 0.061506
3-original, 32, 0.061301
3-modified, 1, 0.086856
3-modified, 2, 0.057904
3-modified, 4, 0.043199
3-modified, 8, 0.049533
3-modified, 16, 0.047373
3-modified, 32, 0.049761
1-original, 1, 0.097651
1-original, 2, 0.097365
1-original, 4, 0.097224
1-original, 8, 0.097169
1-original, 16, 0.097075
1-original, 32, 0.097830
1-modified, 4, 0.045720
1-modified, 2, 0.066012
1-modified, 1, 0.104212
1-modified, 8, 0.047794
1-modified, 16, 0.047194
1-modified, 32, 0.049841
2-original, 1, 0.192353
2-original, 2, 0.192336
2-original, 16, 0.192306
2-original, 4, 0.192290
2-original, 8, 0.192305
2-original, 32, 0.192653
2-modified, 1, 0.165509
2-modified, 4, 0.081101
2-modified, 2, 0.106323
2-modified, 32, 0.091457
3-original, 4, 0.060941
3-original, 2, 0.061606
3-original, 8, 0.061075
3-original, 16, 0.061521
3-original, 32, 0.061287
3-modified, 1, 0.087352
3-modified, 4, 0.043496
3-modified, 2, 0.057914
3-modified, 16, 0.048692
3-modified, 8, 0.049048
3-modified, 32, 0.050036
1-original, 1, 0.097624
1-original, 4, 0.097681
1-original, 2, 0.097894
1-original, 8, 0.097710
1-original, 32, 0.097221
1-modified, 1, 0.104557
1-original, 16, 0.097758
1-modified, 8, 0.046672
1-modified, 4, 0.046280
1-modified, 2, 0.066477
1-modified, 32, 0.047120
1-modified, 16, 0.047989
2-original, 2, 0.192329
2-original, 4, 0.192598
2-original, 8, 0.192335
2-original, 32, 0.192109
2-original, 16, 0.192367
2-modified, 4, 0.080958
2-modified, 16, 0.089696
2-modified, 8, 0.088582
3-original, 2, 0.061567
3-original, 1, 0.061914
2-modified, 32, 0.096308
3-original, 4, 0.061500
3-original, 8, 0.061777
3-original, 32, 0.061375
3-original, 16, 0.062800
