Variant, Problem Size, Time in s, Correct solution
Ex02, 4096, 4.473182, 1
Ex02, 128, 0.108269, 1
Ex02, 256, 0.215183, 1
Ex02, 512, 0.435594, 1
Ex02, 1024, 0.864764, 1
Ex02, 8192, 9.111066, 1
Ex02, 2048, 1.723651, 1
Ex02, 16384, 18.217243, 1
Ex02, 4096, 4.481565, 1
Ex02, 128, 0.108255, 1
Ex02, 256, 0.215170, 1
Ex02, 1024, 0.864692, 1
Ex02, 8192, 9.119767, 1
Ex02, 2048, 1.723710, 1
Ex02, 16384, 18.219757, 1
Ex02, 4096, 4.482402, 1
Ex02, 256, 0.215189, 1
Ex02, 128, 0.108235, 1
Ex02, 512, 0.435639, 1
Ex02, 8192, 9.188441, 1
Ex02, 1024, 0.864752, 1
Ex02, 2048, 1.723460, 1
Ex02, 16384, 18.264209, 1
Ex02, 4096, 4.481918, 1
Ex02, 128, 0.108352, 1
Ex02, 256, 0.215255, 1
Ex02, 512, 0.435628, 1
Ex02, 1024, 0.865049, 1
Ex02, 8192, 9.146068, 1
Ex02, 2048, 1.723521, 1
Ex02, 16384, 18.221200, 1
Ex02, 4096, 4.509936, 1
Ex02, 128, 0.108312, 1
Ex02, 256, 0.215234, 1
Ex02, 512, 0.435635, 1
Ex02, 1024, 0.864762, 1
Ex02, 2048, 1.723586, 1
Ex02, 8192, 9.111611, 1
Ex02, 16384, 18.276893, 1
Ex02, 4096, 4.481606, 1
Ex02, 128, 0.108281, 1
Ex02, 512, 0.435572, 1
Ex02, 256, 0.215260, 1
Ex02, 8192, 9.147591, 1
Ex02, 1024, 0.864785, 1
Ex02, 2048, 1.723537, 1
Ex02, 16384, 18.224792, 1
Ex02, 4096, 4.489844, 1
Ex02, 128, 0.108202, 1
Ex02, 512, 0.435750, 1
Ex02, 256, 0.215207, 1
Ex02, 1024, 0.864796, 1
Ex02, 8192, 9.117212, 1
Ex02, 2048, 1.723486, 1
Ex02, 16384, 18.286854, 1
Ex02, 4096, 4.477341, 1
Ex02, 128, 0.108263, 1
Ex02, 256, 0.215251, 1
Ex02, 512, 0.435642, 1
Ex02, 8192, 9.110899, 1
Ex02, 4096, 4.514559, 1
Ex02, 16384, 18.217067, 1
Ex02, 256, 0.215240, 1
Ex02, 512, 0.435567, 1
Ex02, 1024, 0.864918, 1
Ex02, 2048, 1.723352, 1
Ex02, 8192, 9.152919, 1
Ex02, 4096, 4.509498, 1
Ex02, 16384, 18.287432, 1
Ex02, 128, 0.108276, 1
Ex02, 512, 0.435624, 1
Ex02, 256, 0.215154, 1
Ex02, 8192, 9.142891, 1
Ex02, 2048, 1.723633, 1
Ex02, 16384, 18.260364, 1
Ex02, 4096, 4.473866, 1
Ex02, 128, 0.108218, 1
Ex02, 256, 0.215276, 1
Ex02, 512, 0.435705, 1
Ex02, 1024, 0.864959, 1
Ex02, 2048, 1.723156, 1
Ex02, 8192, 9.117903, 1
Ex02, 16384, 18.327244, 1
Ex02, 4096, 4.474549, 1
Ex02, 128, 0.108340, 1
Ex02, 256, 0.215314, 1
Ex02, 512, 0.435582, 1
Ex02, 1024, 0.864772, 1
Ex02, 2048, 1.723424, 1
Ex02, 8192, 9.116506, 1
Ex02, 16384, 18.304167, 1
Ex02, 4096, 4.473798, 1
Ex02, 128, 0.108286, 1
Ex02, 256, 0.215311, 1
Ex02, 1024, 0.864868, 1
Ex02, 512, 0.435883, 1
Ex02, 8192, 9.141788, 1
Ex02, 16384, 18.245232, 1
Ex02, 2048, 1.723476, 1
Ex02, 4096, 4.482523, 1
Ex02, 128, 0.108198, 1
Ex02, 256, 0.215172, 1
Ex02, 512, 0.435686, 1
Ex02, 1024, 0.864952, 1
Ex02, 8192, 9.141162, 1
Ex02, 16384, 18.274747, 1
Ex02, 2048, 1.723294, 1
Ex02, 4096, 4.515310, 1
Ex02, 128, 0.108261, 1
Ex02, 256, 0.215205, 1
Ex02, 512, 0.435635, 1
Ex02, 1024, 0.864940, 1
Ex02, 2048, 1.723529, 1
Ex02, 8192, 9.112518, 1
Ex02, 16384, 18.249311, 1
Ex02, 4096, 4.473928, 1
Ex02, 128, 0.108205, 1
Ex02, 256, 0.215297, 1
Ex02, 512, 0.435590, 1
Ex02, 8192, 9.148113, 1
Ex02, 1024, 0.864713, 1
Ex02, 2048, 1.723557, 1
Ex02, 16384, 18.255645, 1
Ex02, 4096, 4.474796, 1
Ex02, 128, 0.108252, 1
Ex02, 256, 0.215209, 1
Ex02, 512, 0.435576, 1
Ex02, 1024, 0.864799, 1
Ex02, 8192, 9.141309, 1
Ex02, 16384, 18.246169, 1
Ex02, 2048, 1.723431, 1
Ex02, 4096, 4.483234, 1
Ex02, 8192, 9.140012, 1
Ex02, 16384, 18.242894, 1
Ex02, 16384, 18.280240, 1
Ex03, 128, 0.046370, 1
Ex03, 2048, 0.755656, 1
Ex03, 4096, 2.352993, 1
Ex03, 8192, 5.315627, 1
Ex03, 16384, 10.614891, 1
Ex03, 128, 0.046329, 1
Ex03, 256, 0.092907, 1
Ex03, 512, 0.194675, 1
Ex03, 1024, 0.377721, 1
Ex03, 8192, 5.318536, 1
Ex03, 128, 0.046388, 1
Ex03, 512, 0.194725, 1
Ex03, 256, 0.092914, 1
Ex03, 1024, 0.377762, 1
Ex03, 2048, 0.755462, 1
Ex03, 4096, 2.325547, 1
Ex03, 16384, 10.609893, 1
Ex03, 8192, 5.306330, 1
Ex03, 256, 0.092897, 1
Ex03, 128, 0.046289, 1
Ex03, 512, 0.194696, 1
Ex03, 1024, 0.377714, 1
Ex03, 2048, 0.755693, 1
Ex03, 16384, 10.623454, 1
Ex03, 4096, 2.324717, 1
Ex03, 8192, 5.300758, 1
Ex03, 512, 0.194696, 1
Ex03, 1024, 0.377752, 1
Ex03, 2048, 0.754124, 1
Ex03, 4096, 2.351824, 1
Ex03, 16384, 10.628704, 1
Ex03, 8192, 5.315536, 1
Ex03, 128, 0.046306, 1
Ex03, 256, 0.092891, 1
Ex03, 512, 0.194713, 1
Ex03, 1024, 0.377675, 1
Ex03, 2048, 0.755769, 1
Ex03, 4096, 2.351251, 1
Ex03, 16384, 10.643459, 1
Ex03, 8192, 5.311492, 1
Ex03, 128, 0.046356, 1
Ex03, 512, 0.194746, 1
Ex03, 256, 0.092867, 1
Ex03, 1024, 0.377739, 1
Ex03, 2048, 0.755840, 1
Ex03, 4096, 2.424397, 1
Ex03, 16384, 10.622819, 1
Ex03, 8192, 5.306303, 1
Ex03, 256, 0.092917, 1
Ex03, 128, 0.046312, 1
Ex03, 512, 0.194770, 1
Ex03, 1024, 0.377792, 1
Ex03, 2048, 0.755588, 1
Ex03, 4096, 2.351414, 1
Ex03, 16384, 10.615440, 1
Ex03, 8192, 5.310557, 1
Ex03, 256, 0.092904, 1
Ex03, 512, 0.194720, 1
Ex03, 2048, 0.755897, 1
Ex03, 4096, 2.325720, 1
Ex03, 16384, 10.612788, 1
Ex03, 8192, 5.323387, 1
Ex03, 128, 0.046366, 1
Ex03, 256, 0.092972, 1
Ex03, 512, 0.194761, 1
Ex03, 1024, 0.377895, 1
Ex03, 2048, 0.755766, 1
Ex03, 4096, 2.351172, 1
Ex03, 16384, 10.661673, 1
Ex03, 8192, 5.312496, 1
Ex03, 128, 0.046376, 1
Ex03, 256, 0.092891, 1
Ex03, 512, 0.194839, 1
Ex03, 1024, 0.377742, 1
Ex03, 2048, 0.755697, 1
Ex03, 16384, 10.617708, 1
Ex03, 4096, 2.413441, 1
Ex03, 8192, 5.312688, 1
Ex03, 128, 0.046359, 1
Ex03, 256, 0.092951, 1
Ex03, 512, 0.194787, 1
Ex03, 1024, 0.378435, 1
Ex03, 2048, 0.755796, 1
Ex03, 4096, 2.381160, 1
Ex03, 16384, 10.604702, 1
Ex03, 8192, 5.312148, 1
Ex03, 128, 0.046333, 1
Ex03, 256, 0.092904, 1
Ex03, 512, 0.194679, 1
Ex03, 1024, 0.377743, 1
