Variant, Problem Size, Time in s, Correct solution
Ex01 V, 2048, 0.282228, 1
Ex01 V, 4096, 0.565514, 1
Ex01 V, 8192, 1.155892, 1
Ex01 V, 16384, 2.322377, 1
Ex01 V, 128, 0.023433, 1
Ex01 V, 256, 0.039015, 1
Ex01 V, 512, 0.075485, 1
Ex01 V, 1024, 0.143851, 1
Ex01 V, 2048, 0.284581, 1
Ex01 V, 4096, 0.589207, 1
Ex01 V, 8192, 1.146157, 1
Ex01 V, 16384, 2.300912, 1
Ex01 V, 128, 0.023959, 1
Ex01 V, 256, 0.042534, 1
Ex01 V, 512, 0.074768, 1
Ex01 V, 1024, 0.143882, 1
Ex01 V, 2048, 0.287381, 1
Ex01 V, 4096, 0.590867, 1
Ex01 V, 8192, 1.134812, 1
Ex01 V, 16384, 2.291113, 1
Ex01 V, 128, 0.023860, 1
Ex01 V, 256, 0.039294, 1
Ex01 V, 512, 0.074425, 1
Ex01 V, 1024, 0.142913, 1
Ex01 V, 2048, 0.281757, 1
Ex01 V, 4096, 0.587523, 1
Ex01 V, 8192, 1.140223, 1
Ex01 V, 16384, 2.294994, 1
Ex01 V, 128, 0.023595, 1
Ex01 V, 256, 0.039326, 1
Ex01 V, 512, 0.075703, 1
Ex01 V, 1024, 0.142538, 1
Ex01 V, 2048, 0.287667, 1
Ex01 V, 4096, 0.567684, 1
Ex01 V, 8192, 1.161137, 1
Ex01 V, 16384, 2.287830, 1
Ex01 V, 128, 0.023681, 1
Ex01 V, 256, 0.039511, 1
Ex01 V, 512, 0.073608, 1
Ex01 V, 1024, 0.145125, 1
Ex01 V, 2048, 0.288644, 1
Ex01 V, 4096, 0.575780, 1
Ex01 V, 8192, 1.133033, 1
Ex01 V, 16384, 2.280515, 1
Ex01 V, 128, 0.024339, 1
Ex01 V, 256, 0.039016, 1
Ex01 V, 512, 0.073642, 1
Ex01 V, 1024, 0.142282, 1
Ex01 V, 2048, 0.285261, 1
Ex01 V, 4096, 0.574040, 1
Ex01 V, 8192, 1.160790, 1
Ex01 V, 16384, 2.295825, 1
Ex01 V, 128, 0.023462, 1
Ex01 V, 256, 0.039010, 1
Ex01 V, 512, 0.074134, 1
Ex01 V, 1024, 0.147653, 1
Ex01 V, 2048, 0.287736, 1
Ex01 V, 4096, 0.583037, 1
Ex01 V, 8192, 1.144451, 1
Ex01 V, 16384, 2.286186, 1
Ex01 V, 128, 0.023332, 1
Ex01 V, 256, 0.039305, 1
Ex01 V, 512, 0.074151, 1
Ex01 V, 1024, 0.142277, 1
Ex01 V, 2048, 0.284178, 1
Ex01 V, 4096, 0.573854, 1
Ex01 V, 8192, 1.156694, 1
Ex01 V, 16384, 2.314722, 1
Ex01 V, 128, 0.023670, 1
Ex01 V, 256, 0.039548, 1
Ex01 V, 512, 0.074301, 1
Ex01 V, 1024, 0.142448, 1
Ex01 V, 2048, 0.282632, 1
Ex01 V, 4096, 0.578784, 1
Ex01 V, 8192, 1.132451, 1
Ex01 V, 16384, 2.302614, 1
Ex01 V, 128, 0.024264, 1
Ex01 V, 256, 0.040038, 1
Ex01 V, 512, 0.073554, 1
Ex01 V, 1024, 0.142620, 1
Ex01 V, 2048, 0.284384, 1
Ex01 V, 4096, 0.577794, 1
Ex01 V, 8192, 1.128362, 1
Ex01 V, 16384, 2.280327, 1
Ex02, 128, 0.023313, 1
Ex02, 256, 0.041543, 1
Ex02, 512, 0.073835, 1
Ex02, 1024, 0.144457, 1
Ex02, 2048, 0.280693, 1
Ex02, 4096, 0.581909, 1
Ex02, 8192, 1.142118, 1
Ex02, 16384, 2.270480, 1
Ex02, 128, 0.022921, 1
Ex02, 256, 0.038733, 1
Ex02, 512, 0.073680, 1
Ex02, 1024, 0.142175, 1
Ex02, 2048, 0.280210, 1
Ex02, 4096, 0.569524, 1
Ex02, 8192, 1.128158, 1
Ex02, 16384, 2.317947, 1
Ex02, 128, 0.023887, 1
Ex02, 256, 0.038759, 1
Ex02, 512, 0.073111, 1
Ex02, 1024, 0.151395, 1
Ex02, 2048, 0.282309, 1
Ex02, 4096, 0.563955, 1
Ex02, 8192, 1.150115, 1
Ex02, 16384, 2.284806, 1
Ex02, 128, 0.023296, 1
Ex02, 256, 0.038744, 1
Ex02, 512, 0.074191, 1
Ex02, 1024, 0.142406, 1
Ex02, 2048, 0.282407, 1
Ex02, 4096, 0.564335, 1
Ex02, 8192, 1.151926, 1
Ex02, 16384, 2.284071, 1
Ex02, 128, 0.023142, 1
Ex02, 256, 0.039399, 1
Ex02, 512, 0.073866, 1
Ex02, 1024, 0.141695, 1
Ex02, 2048, 0.290487, 1
Ex02, 4096, 0.566208, 1
Ex02, 8192, 1.140650, 1
Ex02, 16384, 2.263179, 1
Ex02, 128, 0.024310, 1
Ex02, 256, 0.038847, 1
Ex02, 512, 0.073147, 1
Ex02, 1024, 0.142767, 1
Ex02, 2048, 0.286341, 1
Ex02, 4096, 0.577771, 1
Ex02, 8192, 1.129144, 1
Ex02, 16384, 2.278494, 1
Ex02, 128, 0.023616, 1
Ex02, 256, 0.038787, 1
Ex02, 512, 0.078120, 1
Ex02, 1024, 0.142987, 1
Ex02, 2048, 0.281623, 1
Ex02, 4096, 0.599616, 1
Ex02, 8192, 1.149129, 1
Ex02, 16384, 2.278025, 1
Ex02, 128, 0.023564, 1
Ex02, 256, 0.038587, 1
Ex02, 512, 0.073747, 1
Ex02, 1024, 0.142211, 1
Ex02, 2048, 0.280794, 1
Ex02, 4096, 0.574165, 1
Ex02, 8192, 1.136485, 1
Ex02, 16384, 2.329837, 1
Ex02, 128, 0.025543, 1
Ex02, 256, 0.038965, 1
Ex02, 512, 0.073701, 1
Ex02, 1024, 0.142564, 1
Ex02, 2048, 0.281584, 1
Ex02, 4096, 0.571649, 1
Ex02, 8192, 1.138239, 1
Ex02, 16384, 2.296099, 1
Ex02, 128, 0.025199, 1
Ex02, 256, 0.038853, 1
Ex02, 512, 0.075195, 1
Ex02, 1024, 0.142177, 1
Ex02, 2048, 0.280972, 1
Ex02, 4096, 0.586133, 1
Ex02, 8192, 1.153066, 1
Ex02, 16384, 2.272465, 1
Ex02, 128, 0.023379, 1
Ex02, 256, 0.038641, 1
Ex02, 512, 0.073653, 1
Ex02, 1024, 0.141656, 1
Ex02, 2048, 0.288405, 1
Ex02, 4096, 0.593601, 1
Ex02, 8192, 1.141226, 1
Ex02, 16384, 2.265035, 1
Ex02, 128, 0.022976, 1
Ex02, 256, 0.038797, 1
Ex02, 512, 0.073145, 1
Ex02, 1024, 0.143940, 1
Ex02, 2048, 0.281578, 1
Ex02, 4096, 0.587827, 1
Ex02, 8192, 1.136433, 1
Ex02, 16384, 2.292739, 1
Ex02, 128, 0.023455, 1
Ex02, 256, 0.038897, 1
Ex02, 512, 0.073783, 1
Ex02, 1024, 0.143458, 1
Ex02, 2048, 0.281107, 1
Ex02, 4096, 0.583377, 1
Ex02, 8192, 1.198996, 1
Ex02, 16384, 2.264153, 1
Ex02, 128, 0.023645, 1
Ex02, 256, 0.038555, 1
Ex02, 512, 0.073248, 1
Ex02, 1024, 0.142635, 1
Ex02, 2048, 0.281655, 1
Ex02, 4096, 0.569935, 1
Ex02, 8192, 1.136581, 1
Ex02, 16384, 2.258542, 1
Ex02, 128, 0.023629, 1
Ex02, 256, 0.038891, 1
Ex02, 512, 0.073295, 1
Ex02, 1024, 0.143187, 1
Ex02, 2048, 0.282540, 1
Ex02, 4096, 0.574700, 1
Ex02, 8192, 1.137018, 1
Ex02, 16384, 2.259933, 1
Ex02, 128, 0.023568, 1
Ex02, 256, 0.038832, 1
Ex02, 512, 0.073286, 1
Ex02, 1024, 0.142399, 1
Ex02, 2048, 0.290170, 1
Ex02, 4096, 0.587020, 1
Ex02, 8192, 1.130135, 1
Ex02, 16384, 2.270893, 1
Ex02, 128, 0.023019, 1
Ex02, 256, 0.038610, 1
Ex02, 512, 0.073155, 1
Ex02, 1024, 0.147251, 1
Ex02, 2048, 0.294497, 1
Ex02, 4096, 0.623936, 1
Ex02, 8192, 1.217395, 1
Ex02, 16384, 2.282812, 1
Ex02, 128, 0.022922, 1
Ex02, 256, 0.038711, 1
Ex02, 512, 0.073937, 1
Ex02, 1024, 0.141566, 1
Ex02, 2048, 0.282448, 1
Ex02, 4096, 0.574352, 1
Ex02, 8192, 1.159722, 1
Ex02, 16384, 2.277285, 1
Ex02, 128, 0.023367, 1
Ex02, 256, 0.038914, 1
Ex02, 512, 0.073178, 1
Ex02, 1024, 0.141634, 1
Ex02, 2048, 0.279911, 1
Ex02, 4096, 0.573633, 1
Ex02, 8192, 1.151634, 1
Ex02, 16384, 2.262658, 1
Ex02, 128, 0.024261, 1
Ex02, 256, 0.038674, 1
Ex02, 512, 0.073326, 1
Ex02, 1024, 0.144695, 1
Ex02, 2048, 0.281473, 1
Ex02, 4096, 0.576871, 1
Ex02, 8192, 1.126611, 1
Ex02, 16384, 2.279364, 1
Ex03, 128, 0.028364, 1
Ex03, 256, 0.050168, 1
Ex03, 512, 0.090426, 1
Ex03, 1024, 0.176578, 1
Ex03, 2048, 0.358747, 1
Ex03, 4096, 0.713185, 1
Ex03, 8192, 1.397093, 1
Ex03, 16384, 2.851450, 1
Ex03, 128, 0.029091, 1
Ex03, 256, 0.047774, 1
Ex03, 512, 0.090504, 1
Ex03, 1024, 0.178833, 1
Ex03, 2048, 0.354942, 1
Ex03, 4096, 0.710249, 1
Ex03, 8192, 1.395106, 1
Ex03, 16384, 2.803994, 1
